text,label
Vaksin Penyebab Autis - http://aktualpost.com/2015/09/vaksin,1
Mau ajak nyokap alesannya krn di Starbucks ga ada boba yg bisa bikin usus buntu stad #SbuxCupsOfCourage,1
Sabtu minum boba Senin oprasi usus buntu Ngeri anjim,1
Bahaya loh itu boba kebanyakan bikin usus buntu,1
"Jgn sering sering ya bi, boba bikin usus buntu hmm",1
"Boba bikin diabetes,bikin usus buntu taukk",1
Pagi pagi dah minum boba usus buntu ntar,1
"Gw sering banget sih jajan begituan, kecuali boba jarang dan emang lama lama kerasa sih efek nya, ampe timbul sariawan 3 biji, trs perut bawah sebelah kanan mulai agak sakit gt jadi parno takut usus buntu baru sadar kalo emg makanan kek gitu berpengaruh bgt",1
Mungkin bisa di share ke group ortu *Bocah Ini Kena Gangguan Jiwa* *karena Terlalu Banyak Ikut Les* Kisah yang sungguh membuat hati miris ini datang dari sebuah akun Facebook... http://cerminan.com/berita/bocah-ini-kena-gangguan-jiwa-karena-terlalu-banyak-ikut-les.html,1
WARNING!!! PARA ORANGTUA / WALI MURID Bocah Ini Kena Gangguan Jiwa karena Terlalu Banyak Ikut Les Kisah yang sungguh membuat hati miris ini datang dari sebuah akun Facebook bernama Andi Teposs. Tertanggal 18... https://facebook.com/416465598440680/posts/2017483248338899/,1
Anak yang Les Terlalu Banyak Bisa Terkena Gangguan Jiwa http://katakota.com/anak-yang-les-terlalu-banyak-bisa-terkena-gangguan-jiwa/…,1
Anak yang les terlalu banyak bisa terkena gangguan jiwa http://dewaporkas.net/anak-yang-les-terlalu-banyak-bisa-terkena-gangguan-jiwa/,1
Terlalu Banyak Les Bikin Anak Didera Gangguan Jiwa? http://artikelmajalah.com/terlalu-banyak-les-bikin-anak-didera-gangguan-jiwa/…,1
"Miris : Bocah Kena Gangguan Jiwa karena Terlalu Banyak Ikut Les, Ditanya Apapun Jawabnya Angka-angka | BERITA... http://fb.me/6cws9ffKo",1
"#Populer KISAH MENYEDIHKAN ANAK YANG TERLALU BANYAK IKUT LES, KINI KENA GANGGUAN JIWA Kisah yang sungguh membuat... http://fb.me/4QniwtSid",1
Pesan Berantai Akibat Sering Main HP Menyebabkan Pembuluh Darah Mata Pecah Bikin… https://goo.gl/fb/wBo3qt #ugetuget,1
"Yayayyaayyaa pk juga kacamata akibat sering ntn TV gelap sama main hp , jd pk kaca mata baca dehh biar… http://instagram.com/p/if9ytkimhD/",1
"nih nih Akibat Sering Menonton Youtube, Balita Ini Kena Sindrom Juling, Curhatan... http://youtu.be/XdJTNcCeiX8 via youtube",1
Viral Eyelash Extension disebut bikin pembuluh darah mata pecah saat tidur - https://tempoyak.net/?p=8299,1
Dokter Mata Jelaskan Kebenaran di Balik Pesan Berantai 'Pembuluh Mata Pecah akibat Sering Main HP',0
Tapi setidaknya dana haji itu jgn dipakai buat pembangunan. Pembangunan kan bisa di tunda sedangkan orang yg seharusnya berangkat dia udah setor harusnya bisa berangkat tahun2 kemarin ternyata sekarang tidak.,1
Pak wapres kan setuju jika dana haji di gunakan pemerintah untuk pembangunan,1
"Hayoo ngaku siapa yang tanda tangan Dana Haji bisa dipakai untuk infraskruktur ? Sudah rame, pada sembunyi deh Kebiasaan lempar batu, sembunyi tangan ",1
"Akun hastag #NKRI, hastag #pancasila dan sejenisnya menyerang semua pihak yg kumpulkan sumbangan masyarakat utk Palestina tapi diam ttg penggunaan dana haji. Makin hari makin jelas siapa mereka.",1
Soal dana haji ... jauh2 hari pemerintah terang2an kok mau gunakan untuk infrastruktur. Sampeyan bisa memastikan aman darimana sumbernya?? Sudah ada yg mengaudit dana tsb ?? Ngoyo2 wae …,1
"HAJI, KEGAGALAN YANG FATAL https://portal-islam.id/2021/06/haji-kegagalan-yang-fatal.html…",1
Sama halnya Publik curiga dana haji amblas Pemerintah memastikan dana Haji Aman Harusnya dana Haji setelah 2 tahun tak di gunakan bisa bertambah dong ?,1
"Tepat sekali byk pelajaran besar pemimpin Dunia di Azab, seperti; Fir'aun, Mustafa Kemal Attartuk, Ariel Sharon. Mendzholimi rakyat & agama, matipun tragis. Masih byk lagi contoh di Dunia ini.",1
Semoga segera terjerumus dalam azab dunia.....aamiinnn.... Semoga berakhir seperti Mustafa Kemal di Turki.....aamiinn....,1
Cukuplah Mustafa Kemal yg kena Azab Allah... Kamu Mau??,1
"Padahal Mustafa Kemal laknatullah adalah musuh terbesar umat Islam, karena dialah <semoga azab terus ditimpakan... http://fb.me/8mi39pRZ6",1
"Kesimpulannya , bahwa munculnya keyakinan di masyarakat muslim Turki bahwa Mustafa Kemal mati terkena azab adalah bentuk penalaran yang didasari oleh akal sehat dan keimanan kepada yang ghaib",1
Masih ingat kah kalian dengan Mustafa Kemal Ataturk ?? Jasad beliau tidak di terima di Bumi . .. Itulah Azab Allah SWT untuk beliau !!,1
"AZAB DI DUNIA.. Sewaktu Mustafa Kemal Ataturk meninggal dunia, tidak seorang pun yang memandikan, ... http://azlinda2.tumblr.com/post/143082471837",1
Kambing Di Filipina Melahirkan Mahluk Berbentuk Setengah Babi Setengah Manusia < https://kaskus.co.id/thread/5bf528ab9252332d638b4567/lagi-heboh-gan-kambing-di-filipina-melahirkan-mahluk-setengah-babi-setengah-manusia,1
"Geger, Induk Kambing Melahirkan Makhluk Setengah Babi Setengah Manusia http://dlvr.it/QsB46t",1
"Kambing Melahirkan Bayi Campuran Babi Dengan Manusia, Warga Percaya Makhluk Itu Setan Membawa Kesialan https://benankmerah.co/news/kambing-melahirkan-bayi-campuran-babi-dengan-manusia-warga-percaya-makhluk-itu-setan-membawa-kesialan/…",1
"Seekor kambing di Filipina melahirkan anak ""setengah babi setengah manusia"". #MNCTVNews #InfoMNCTVNews",1
"VIDEO: Aneh, Kambing Melahirkan Mahluk Setengah Babi http://dlvr.it/QrpkyL",1
Induk Kambing Melahirkan Makhluk Setengah Babi Setengah Manusia https://maingame88.com/duniacerpen/2021/01/06/induk-kambing-melahirkan-makhluk-setengah-babi-setengah-manusia/… ,1
"Cari aja di gugel ""stan ditutup karena radikalisme"" nanti banyak ketemu beritanya gais ",1
[cm] kenapa ini guysss??,1
"STAN DITUTUP, KARENA MAHASISWA NYA RAJIN BERIBADAH DICAP RADIKALISME",1
"Jika STAN Ditutup Karena Radikalisme, Sudirman Said: Bakal Jadi Skandal Bernegara",1
stan ditutup karena radikalisme,1
Isu STAN Ditutup Karena Radikalisme Menyebar Dimedsos https://editor.id/isu-stan-ditutup-karena-radikalisme-menyebar-di-medsos/,1
"PKN STAN Ditutup Hanya karena Isu Radikalisme, Sudirman Said: Ini Skandal Bernegara https://suaraislam.id/pkn-stan-ditutup-hanya-karena-isu-radikalisme-sudirman-said-ini-skandal-bernegara/… lewat ",1
KB Suntik Sebabkan Gemuk?: KB suntik biasanya dilakukan 3 bulan sekali. Fungsi KB 3 bulanan memang bisa membuat ... http://bit.ly/PdcNcX,1
KB Pil dan Suntik Sebabkan Kanker: Badan Kependudukan dan Keluarga Berencana Nasional (BKKBN) saat ini mengawa... http://bit.ly/13SKXwi,1
KB Pil dan Suntik Sebabkan Kanker http://bit.ly/13EMya3,1
"Pil KB Bisa Sebabkan Kebutaan? http://bit.ly/1fh7J6m""kalau suntik kb?",1
"#FitInfo, meski efektif untuk mencegah kehamilan, KB Suntik beresiko sebabkan penipisan tulang, Apalagi jika pemakaiannya lebih dari 2 tahun. jika anda memakai KB jenis ini, konsumsilah makanan yang mengandung vitamin D serta suplemen kalsium untuk menjaga tulang. #stayfit #Senin",1
"Waspada, Suntik KB Bisa Sebabkan Kanker https://goo.gl/fb/sWybki #Magelang",1
"Pak Prabowo sedang sakit. Kabar tentang penyakitnya juga simpang siur. Dari flu hingga stroke ringan setelah debat Capres ke 4. Apapun, mari kita doakan kesembuhan pak Prabowo. Semoga lekas sembuh pak. #PrabowoSakit",1
"Salfok sama wajah pak prabowo, seperti miring ya, kayanya stroke ringan,, tetanggaku seperti itu,,tp mudah2an sehat trus",1
DOKTER TERAWAN JUGA PERNAH MENTERAPI STROKE RINGAN PRABOWO SUBIANTO.,1
"Prabowo Alami Stroke Ringan, Bisa Dilihat Dari Bentuk Bibirnya. Trus Gimana Dong?: http://youtu.be/t0GcOJ3ot0U?a ",1
"Memang berbahayaaaaa, makanya jangan dipilih jadi presiden.. Kalo tidak salah kesehatan pernah dicek, Prabowo pernah kena stroke ringan.. Mungkin akibat emosi yg tdk stabil..",1
Selain sdh sepuh mungkin blio pernah menderita stroke ringan GWS pak,1
Pak prabowo sprti beda. Sprti pernah terkena stroke ringan kya nya. Saat ngomong terlihat bnget mulut beliau tdk simetris.,1
Warga negara Timor Leste dikabarkan ingin bergabung lagi dengan dengan Indonesia bila diberi kesempatan kedua.,1
"""Timor Leste mau bergabung lagi dengan Indonesia"". Berdusta atau memuja, bagi penulisnya sama saja. https://indonesiana.tempo.co/read/59531/2016/01/28/maskusdiono/timor-leste-ingin-gabung-ri-karena-jokowi…",1
Timor Leste Disebut Ingin Kembali Bergabung Dengan Indonesia https://familinia.com/timor-leste-disebut-ingin-kembali-bergabung-dengan-indonesia/,1
"Nahhh... lohhh Dulu Ngotot Pisah, Kini Warga Timor Leste Ingin Kembali Bergabung dengan Indonesia, Ini Alasannya",1
Xanana Ingin Timor Leste Bergabung Lagi Dengan Indonesia: http://youtu.be/e8tq1UoBhPY?a ,1
WOW!! Timor Leste Ingin Bergabung Kembali dengan Indonesia By : Indonesia JAKARTA - Setelah Timor Leste keluar... http://fb.me/1CjCD1CWR,1
"""Timor Leste harus bergabung dengan Indonesia. Kami butuh pemimpin baru,"" ujar Xanana di Surabaya. Xanana sudah... http://fb.me/1qwmBLpjL",1
"Ada apa dengan negara ku Wajah menangis, antigen bekas, vaksin palsu, suntikan vaksin kosong saat vaksin , dimana hati kalian weiiii",1
Pantasan banyak lansia yg disuntik tanpa obat vaksin di video alias hanya jarum suntikan yg ditusukan.tapi kosong. Ky ini yg dijual.pantas banyak org curiga.ternyata bener.,1
Mana vaksin nya kayak suntikan kosong gitu,1
"Relawan Vaksin Sinovac Positif COVID-19, Tim Riset Duga Suntikan Obat Kosong",1
"Relawan Vaksin Sinovac Positif COVID-19, Tim Riset Duga Suntikan Obat Kosong | Berita7",1
Beginilah klo Tukang Ngurus Ojek di jadikan Mendikbud Dulu di mana Nadiem Sekolahnya berapa Nilai Mata Pelajaran Sejarah nya Makanya kenapa bidang studi PSPB di HAPUS Jadi Buta Sejarah #ReshuffleNadiemMakarim,1
PDIP Kecam Rencana Mendikbud Nadiem Mau Hapus Mata Pelajaran Sejarah,1
"Agak krik aja pas tahu mendikbud mau hapus kurikulum sejarah, hadeeeh. Ya meski memang pelajaran itu dibawakan secara monoton saat SMP dan SMA. Sejarah pentingloh meski siswa anak IPA. Wawasan kebangsaan dan dunia kan dari ilmu sosial itu meski anak IPA gak mungkin ujung2 PKn.",1
"Kata Bung Karno: Bangsa besar adalah bangsa yang menghargai jasa para pahlawannya. Mendikbud : Hapus mata pelajaran sejarah dari kurikulum pendidikan. Lha, bagaimana bisa mengenal dan menghargai pahlawan tanpa belajar sejarah?",1
"Ga tau apa kerjanya. Awal2 gelar akademik ga dia anggap, skarang mo hapus pelajaran sejarah.. Baiknya org ini jadi Kang Ojol aja lagi !! ______________ Pelajaran Sejarah Bakal Dihapus, Wakil Ketua MPR: Mendikbud Buta Sejarah! https://news.demokrasi.co.id/pelajaran-sejarah-bakal-dihapus-wakil-ketua-mpr-mendikbud-buta-sejarah/?amp&__twitter_impression=true… https://m.bernas.id/71310-mendikbud-sebut-gelar-kelulusan-tidak-menjamin-kompetensi-pakar--nadiem-jangan-sembarangan-keluarkan-pernyataan.html",1
Mendikbud Wacanakan Hapus Pelajaran Sejarah,1
"Terkejut, Mendikbud Nadiem Bantah Rencana Hapus Pelajaran Sejarah Mendikbud Nadi",1
"PHK besar-besaran BCA segera terjadi, Teller dan CS akan dihilangkan. seluruh indonesia.",1
"Tanda2 hegemoni RIBA akan segera hancur..? Kemarin Bukopin gagal bayar deposito nasabah, Blm lama BCA pun demikian, Berlanjut berita hari ini pun ga kalah ngeri..Wajah ketakutan PHK besar-besaran BCA segera terjadi, Teller & CS akan dihilangkan seluruh indonesia.",1
Kabar yang menyebut BCA akan melakukan PHK besar-besaran beredar di media sosial Twitter pada Jumat (3/7). #viral,1
"Pandemic Global telah mempercepat Tsunama Disrupsi yang seharusnya datang 3-5 tahun lagi Oleh karena itu, makin banyak orang tidak siap. PHK besar-besaran BCA segera terjadi, Teller dan CS akan dihilangkan. Peluang rekrut CS dan…https://lnkd.in/g7U6kPH",1
BCA diterpa kabar tidak sedap. Bank papan atas Indonesia itu disebut akan melakukan PHK besar-besaran. #Bisnis #BCA ,1
"PHK besar-besaran BCA segera terjadi, Teller dan CS akan dihilangkan. Peluang rekrut CS dan Teller BCA seluruh indonesia. https://inews.id/finance/bisnis/bca-prediksi-kantor-cabang-tetap-ada-teller-hingga-cs-akan-hilang… Dampak Digitalisasi sejalan dg Rev. Industri 4.0.",1
Beberapa kasus pesepeda meninggal kehabisan nafas karena menggunakan masker telah diketahui banyak orang,1
Info di WAG Meninggal karena kurang oksigen... Menggunakan masker pada saat bersepeda Mohon info nya Resiko bersepeda dengan masker,1
Kembali lagi dikabarkan seorang pesepeda meninggal karena menggunakan masker. Seorang lelaki berasal dari Bekasi dikabarkan meninggal dunia akibat kekurangan oksigen karena mengenakan masker saat berkeliling menggunakan sepedanya.,1
"Beberapa hari ini sudah ada beberapa kasus orang meninggal dunia karena berolahraga menggunakan masker, khususnya bersepeda yang sekarang ini banyak di gemari oleh masyarakat.",1
3 anak SMP meninggal waktu pelajaran olahraga karena mrk berolahraga keras dengan tetap menggunakan masker! Kejadian ini membuat sekolah2 membuat aturan baru: JANGAN MEMAKAI MASKER WAKTU OLAHRAGA.,1
"Ada yang meninggal di saat olahraga dan menggunakan masker, karena kekurangan oksisgen....gue harap petugas PSBB nya diberi pendidikan yang benar dalam menerapkan PSBB terutama di saat orang sedang sendirian...jangan terkesan sewenang-wenang dan menimbulkan Antipati Masyarakat",1
"Belum lama ini seorang warga Bekasi dikabarkan meninggal dunia diduga karena kekurangan oksigen, karena mengenakan masker saat berkeliling menggunakan sepedanya. #TauCepatTanpaBatas",1
"Indonesia Punya Program 1 Suami 2 Istri, Mau ya… https://infoindonesia.id/hiburan/indonesia-punya-program-1-suami-2-istri-mau-ya/",1
"""Katanya indo mau bikin program 1 suami 2 istri menurutku wajar saja, coba di balik 1 istri 2 suami, bumi ga lama diadain programnya ancur tuh auto kiamat kubro"" #jadibetinamanutaja",1
Indonesia di adakan program 1 suami 2 istri setuju tidak? http://fb.me/SnCPg7MY,1
Indonesia di adakan program 1 suami 2 istri setuju tidak? http://ift.tt/2nlCM7i #SEARCH #SEO,1
"Program 1 suami 2 istri.. Boro2 dua istri,mimpi aja ga dpt 2 istri. Ini 1 aja ga nyampe2..",1
Iye.. Gerindra malah mau calonin ex napi koruptor buat jadi wagub dki pengganti ono.. eh uno,1
"Ex napi jadi wagub ? Wajah ketakutanWajah ketakutanWajah ketakutanhttps://news.detik.com/berita/d-4161231/m-taufik-jadi-kandidat-wagub-meski-eks-napi-ini-argumen-gerindra… Meski Taufik eks napi korupsi, Gerindra mengajukan namanya jadi kandidat wagub pengganti Sandi. ""Allah saja mahapemaaf, masak kita nggak memberikan maaf?""",1
Yah liat saja nanti. Gue lihat kader PKS tuh total..Direct Selling dor to dor biaya sendiri. Minimal kayak gini kagak ada. Lagian niat nggak sih jadi Presiden kalau jadimah Wagub nggak ada harganya. Jgn2x nggak pede jadi bela-belain ex Napi Koruptor.,1
Mudah2 an deh m.taufik dicalonkan Pak Prabowo jadi wagub dki ..58% warga jkt pasti mendukung lah...sejarah banget kan ex napi koruptor bisa jadi wagub,1
Sudahlah dek ga usah di urusi ex artis yg jadi anggota dewan tapi benar2 unfaedah dan bikin boros uang negara saja. Karena dia jd legislator ga ada manfaatnya bagi rakyat. Dia ga ngaca ex napi koruptor di angkat jadi Wagub DKI,1
"di negara koruptif seperti indonesia, seorang ex napi bisa jadi pimpinan dewan dan ngebet betul ingin jadi wagub. padahal kita tau, bagi maling tidak ada kapok dalam kamusnya",1
semoga dipertimbangkan kembali untuk menunjuk M Taufik Jadi Wagub DKI atas status nya sbg ex napi korupsi. Akan sangat banyak yg kecewa termasuk simpatisan PS-Sandi di LN yg sudah mati2an membela/mendukung PS-Sandi. say no to corruption!,1
"""Selamat Tinggal Sejarah Islam""Kemenag Menghapus Kurikulum Pendidikan Agama di Madrasah Kata Khilafah dan Jihad https://pesisirnews.com/NASIONAL/-quot-Selamat-Tinggal-Sejarah-Islam-quot-Kemenag-Menghapus-Kurikulum-Pendidikan-Agama-di-Madrasah-Kata-Khilafah-dan-Jihad#.Xfhzm6Vnxvp.facebook",1
Beredar kabar yang menyebutkan Kementerian Agama (Kemenag) menghapus Pendidikan Agama Islam dan Bahasa Arab dari kurikulum Madrasah. Kabar tersebut beredar di media sosial menyusul diterbitkannya surat edaran KMA No 183 tahun 2019. Adapun surat edaran … https://instagr.am/p/CCjLaR8Hz0A/,1
"bukti rezim ini pembenci islam .. walau cuma hanya diganti kata .. tp ini adlh bentuk cara menghilangkan islam dikit demi dikit ... ""Selamat Tinggal Sejarah Islam""Kemenag Menghapus Kurikulum Pendidikan Agama di Madrasah Kata Khilafah dan Jihad https://pesisirnews.com/NASIONAL/-quot-Selamat-Tinggal-Sejarah-Islam-quot-Kemenag-Menghapus-Kurikulum-Pendidikan-Agama-di-Madrasah-Kata-Khilafah-dan-Jihad#.XfiuXWXUK5J.twitter",1
"Kita jangan diam saja, hajar nih si Menag kok seenak jidatnya menghapus pend. Agama, perlu juga kita tahu, agama si Menag ini apa toh Selamat Tinggal Sejarah Islam""Kemenag Menghapus Kurikulum Pendidikan Agama di Madrasah Kata Khilafah dan Jihad https://pesisirnews.com/NASIONAL/-quot-Selamat-Tinggal-Sejarah-Islam-quot-Kemenag-Menghapus-Kurikulum-Pendidikan-Agama-di-Madrasah-Kata-Khilafah-dan-Jihad#.Xfhzm6Vnxvp.facebook",1
Mentri Nganu buat Gebrakan Gila pisan dia Ingin Menghapus Sejarah Perang dlm Kurikulum SKI dan mencabut pula Pendi2kan Agama dari UU Pesantern. Kayanya Pesanan agar dia terhindar Dari Kasus Jual Jabatan d kemenag yg menyeret nya,1
"Benar2 rezim anti islam, ingin menghilangkan sejarah yg merupakan ghiroh bagi umat untuk menegakkan syareat islam.. ""Selamat Tinggal Sejarah Islam""Kemenag Menghapus Kurikulum Pendidikan Agama di Madrasah Kata Khilafah dan Jihad http://babe.topbuzz.com/article/i6768289970370118145?app_id=1124&gid=6768289970370118145&impr_id=6768309066849011970&language=id&region=id&user_id=6751404811303224322&c=tw",1
"KHILAFAH MEMULIAKAN AJARAN ISLAM. Oleh: Syah Revolter Beredar berita bahwa Kemenag akan menghapus materi tentang 'perang' dari kurikulum madrasah. Alasannya, agar Islam tidak lagi dijuluki sebagai agama perang... https://facebook.com/100006241063280/posts/2401848053366540/",1
"Viral diBandung, di Kampus Ini Disebut Ada Sekte Pemuja Setan https://pastelink.net/1u67e #BeritaTerkini #beritajabar",1
kampus itenas jaman sy kuliah dlu trkenal dgn video asoy in the hoy. Sekarang trkenal dgn oknum mhs ritual pemuja setan. OMG,1
Heboh Aktivitas 'Ritual Pemuja Setan' di Kampus Itenas Bandung,1
Heboh Aktivitas 'Ritual Pemuja Setan' di Kampus Itenas Bandung https://nusawarta.info/2020/07/heboh-aktivitas-ritual-pemuja-setan-di.html,1
Heboh Aktivitas ‘Ritual Pemuja Setan’ di Kampus Itenas Bandung #Itenas #Bandung,1
"Gara2 ke doktrin omongan temen makan mie instan itu bikin kanker, sejak saat itu aku ga pernah nyicip mie instan lg",1
"Banyak manusia yang akhirnya bikin klaim kalau nasi dan/atau gula sebagai penyebab diabetes, jeroan sebagai penyebab kolesterol, tembakau bikin kanker, MSG bikin lemot, mie instan gak sehat, dan banyak lagi. https://instagram.com/p/CFDte49nEt5/?igshid=x1grhq00xsq1",1
"Sering denger kalimat ""yg berlebihan itu ga baik"" atau ""makan mie instan bisa bikin kanker"". Its true. Buat yg suka bgt makan mie instan, sering nunda lapar, dan langsung tiduran abis makan, WAJIB BACA INI! Wajah sedikit senyumhttps://today.line.me/ID/article/rvZ3nY?utm_source=ttshare… #LINETODAY",1
"Orang2 sering fokus dengan kecanduan narkoba, alkohol, sex. Mereka lupa, ada orang2 yang kecanduan makan mie instan. Gw salah satunya, tiap hari makan mie. Meski dari kecil dicekoki pengetahuan tentang bahaya mulai dari msg bikin bego, kanker, merusak otak, dll.",1
"Wkwk tau ga mie instan, dan segala micin2an yang kalian makan itu beresiko juga buat bikin kanker",1
"mie instan bahaya banget buat tubuh, bener2 bisa bikin kanker, ini kejadian sama tetangga ane, dan dia meninggal"" << ngeri broo..",1
Viral!!! Mohon Sebarkan Garam Mengandung Pecahan Kaca: http://youtu.be/iUbcv2-nT1s?a melalui,1
"Viral Video Berisi Tayangan Garam Beryodium Mengandung Pecahan Kaca, BPOM Turun Tangan http://jateng.tribunnews.com/2017/08/14/viral-video-berisi-tayangan-garam-beryodium-mengandung-pecahan-kaca-bpom-turun-tangan… lewat ",1
Aina Kaget Garam Miliknya Diisukan Mengandung Pecahan Kaca - Banjarmasin Post http://fb.me/5Y2bwZN2k,1
Aina Kaget Garam Miliknya Diisukan Mengandung Pecahan Kaca http://dlvr.it/PdJxkt,1
"Dari jaman dulu kantong teh celup disebut beracun, garam dapur yg katanya mengandung pecahan kaca, terus ada lgi beras yg katanya disintesis dari plastik, macem2 dah kearifan lokal warga indo",1
Firman diberi banyak garam oleh Dahlia. Tetapi ternyata pembeli gado2 Hana protes krn gado2nya mengandung pecahan kaca #JODOHWASIATBAPAK167,1
"HOAX, Berita Garam Mengandung Pecahan Kaca Beredar di Medos: NUSANTARAEXPRESS, BAGANSIAPIAPI – Beredar video di… http://dlvr.it/Pgj8tP",0
RT JadiTINGGI: Ceker dan sayap ayam bisa menyebabkan kanker untuk wanita? Cari infonya dis… https://pic.twitter.com/cNirvIq4Dz,1
Ceker dan sayap ayam bisa menyebabkan kanker untuk wanita?Cari infonya disini CS1: 2B56D627/081321489500 https://pic.twitter.com/3X68mhM0DA,1
"ceker, sayap dan kulit ayam bahaya buat wanita bisa menyebabkan kista, kanker, tumor :( Allhamdulilah gasuka begituan apalagi berbau2 kulit",1
Banyak yang share tentang: Makan sayap ayam n ceker ayam suntik bisa menyebabkan kanker rahim dan payudara... http://fb.me/1Ab4fOCmU,1
"Ternyata mengkonsumsi sayap dan ceker ayam bisa menyebabkan kanker ovarium, kanker serviks, dan kanker payudara.",1
"Yang khawatir dengan Isue ceker ayam dan sayap ayam dapat menyebabkan kanker. Coba dibaca link ini, adalah... http://fb.me/6K6JxQP2G",1
baru tau kalau konsumsi sayap dan ceker ayam terlalu banyak bisa menyebabkan kanker rahim o_O,1
Positif mengandung babi hehehe brp bulan tuh babi di dlm masako sachet,1
BUMBU MASAK/MAKANAN YANG MENGANDUNG BABI ATAU BARANG HARAM SEBAGAIMANA DAFTAR DI BAWAH INI: 1.Masako positif (mengandung babi) 2.Micin sasa positif (mengandung babi) 3.Micin ajinamoto positif (mengandung babi) 4.Indomie goreng bumbunya positif (mengandung babi),1
ati2 ta.bukan cuma efek micin tapi efek masako.denger2 mengandung kaldu babi.hahahahhà,1
idih masako sama royco mengandung minyak babi :D,1
"aku baru tau klo masako mengandung babi. Jadi selama ini orang tua babi adalah masako. :|""",1
"MUI Menerbitkan Daftar Bumbu Masakan Mengandung Babi, Ternyata Masako Positif Babi ",1
"Ternyata HOAX tuipss Kembali diviralkan ..padahal berita lama. MUI Menerbitkan Daftar Bumbu Masakan Mengandung Babi, Ternyata Masako Positif Babi Cek Fakta Ini",0
Katanya Revolusi Mental... Mental yang mana jika Miras bisa halal di jual bebas di Indonesia #Indonesia_Hancur,1
"Selama miras di indonesia halal ga akan deh australia bener"" ga mau kesini #baliboycott",1
"jika FPI dibubarkan, miras akan berubah jadi halal di Indonesia.",1
Akhirnya miras bakal di halal kan di indonesia,1
"Sebelum ada lampu hijau terhadap peredaran miras di beberapa daerah, di Indonesia sudah menjadi hal lumrah yang mengkonsumsinya, terutama kota2 besar. Bagi yang minat aja dan tidak ada paksaan. Jika kiranya haram jangan diminum, ada yang lebih halal selain miras, KENCING ONTA!",1
"Di saat Goodbener Indonesia kita melepas saham bir karena ingin pendapatan pemda yg halal... Eh gabener cebong dari ntt malah meresmikan miras, apakah ini hasil revolusi mental??? Eh bong karena elo mendukung... https://facebook.com/100000106775778/posts/2698720470141486/",1
*MAHASISWA* AKAN AKSI BESAR BESARAN dan mengundang masyarakat untuk turun aksi melawan *kezoliman* Tanggal 5 Juli 2021.,1
"Beredar Undangan Aksi Besar-besaran 5 Juli 2021: Mahasiswa Bergerak Lakukan Perlawanan, Suarakan Kebenaran #Mahasiswa #jokowi",1
BEM UI Bantah Akan Gelar Aksi Unjuk Rasa Besar-besaran pada 5 Juli Nanti https://tribunnews.com/nasional/2021/07/03/bem-ui-bantah-akan-gelar-aksi-unjuk-rasa-besar-besaran-pada-5-juli-nanti…,1
BEM UI Bantah Akan Gelar Aksi Unjuk Rasa Besar-besaran pada 5 Juli Nanti,1
